"vague","grappe","s02q01","s02q02","s02q02_autre","s02q03","s02q03_unite","s02q04__0","s02q04__1","s02q04__2","s02q04__3","s02q04__4","s02q04__5","s02q04__6","s02q04__7","s02q04__8","s02q04__9","s02q04__10","s02q04__11","s02q04_autre"
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,0,0,0,0,0,0,1,0,0,2,0,0,
2,2,2,1,,10,1,0,0,0,0,0,0,0,1,0,0,0,0,
2,2,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,4,,15,1,0,1,0,0,2,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
2,2,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,3,2,4,,20,1,0,0,0,0,0,0,0,0,1,0,0,0,
1,3,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
